,Rank,Vehicle,Driver,Time,PS / KG
0,1.0,Yamaha YZR-M1 (2016),Johann Zarco,1:31.18,- / -
1,2.0,Honda RC213V (2018),Marc Marquez,1:31.29,- / -
2,3.0,Yamaha YZR-M1 (2020),Fabio Quartararo,1:31.31,- / -
3,4.0,Ducati GP18,Danilo Petrucci,1:31.38,- / -
4,5.0,Suzuki GSX-RR (2018),Andrea Iannone,1:31.45,- / -
5,6.0,Ducati GP20,Jack Miller,1:31.54,- / -
6,7.0,Ducati GP18,Andrea Dovizioso,1:31.55,- / -
7,8.0,Ducati GP18,Jorge Lorenzo,1:31.59,- / -
8,9.0,Ducati GP20,Danilo Petrucci,1:31.67,- / -
9,10.0,Ducati GP17,Jack Miller,1:31.68,- / -
10,11.0,Honda RC213V (2020),Cal Crutchlow,1:31.69,- / -
11,12.0,Yamaha YZR-M1 (2020),Maverick Viñales,1:31.72,- / -
12,13.0,Ducati GP20,Andrea Dovizioso,1:31.72,- / -
13,14.0,Ducati GP20,Francesco Bagnaia,1:31.75,- / -
14,15.0,Yamaha YZR-M1 (2018),Maverick Viñales,1:31.78,- / -
15,16.0,KTM RC16 (2020),Pol Espargaró,1:31.79,- / -
16,17.0,Ducati GP19,Johann Zarco,1:31.83,- / -
17,18.0,Yamaha YZR-M1 (2020),Valentino Rossi,1:31.89,- / -
18,19.0,Yamaha YZR-M1 (2020),Franco Morbidelli,1:31.89,- / -
19,20.0,Yamaha YZR-M1 (2018),Valentino Rossi,1:31.90,- / -
20,21.0,Yamaha YZR-M1 (2016),Jorge Lorenzo,1:31.97,- / -
21,22.0,KTM RC16 (2020),Miguel Oliveira,1:32.01,- / -
22,23.0,Honda RC213V (2018),Dani Pedrosa,1:32.02,- / -
23,24.0,Ducati GP17,Tito Rabat,1:32.05,- / -
24,25.0,Honda RC213V (2020),Takaaki Nakagami,1:32.18,- / -
25,26.0,Suzuki GSX-RR (2020),Joan Mir,1:32.19,- / -
26,27.0,Honda RC213V (2018),Cal Crutchlow,1:32.31,- / -
27,28.0,Yamaha YZR-M1 (2017),Hafizh Syahrin,1:32.40,- / -
28,29.0,Suzuki GSX-RR (2018),Alex Rins,1:32.40,- / -
29,30.0,Honda RC213V (2016),Marc Marquez,1:32.42,- / -
30,31.0,Aprilia RS-GP (2018),Aleix Espargaró,1:32.45,- / -
31,32.0,Ducati GP16,Andrea Iannone,1:32.47,- / -
32,33.0,Yamaha YZR-M1 (2016),Pol Espargaro,1:32.50,- / -
33,34.0,Aprilia RS-GP (2020),Aleix Espargaró,1:32.54,- / -
34,35.0,Ducati GP16,Andrea Dovizioso,1:32.59,- / -
35,36.0,Yamaha YZR-M1 (2021),Fabio Quartararo,1:32.60,- / -
36,37.0,Yamaha YZR-M1 (2021),Maverick Viñales,1:32.68,- / -
37,38.0,Ducati GP21,Jack Miller,1:32.70,- / -
38,39.0,Suzuki GSX-RR (2020),Alex Rins,1:32.76,- / -
39,40.0,Yamaha YZR-M1 (2021),Franco Morbidelli,1:32.76,- / -
40,41.0,KTM RC16 (2020),Brad Binder,1:32.76,- / -
41,42.0,Honda RC213V (2017),Franco Morbidelli,1:32.77,- / -
42,43.0,Honda RC213V (2020),Álex Márquez,1:32.77,- / -
43,44.0,KTM RC16 (2018),Bradley Smith,1:32.79,- / -
44,45.0,Yamaha YZR-M1 (2016),Bradley Smith,1:32.82,- / -
45,46.0,Yamaha YZR-M1 (2016),Valentino Rossi,1:32.83,- / -
46,47.0,Aprilia RS-GP (2020),Bradley Smith,1:32.83,- / -
47,48.0,KTM RC16 (2020),Iker Lecuona,1:32.86,- / -
48,49.0,Honda RC213V (2020),Stefan Bradl,1:32.86,- / -
49,50.0,Ducati GP21,Johann Zarco,1:32.88,- / -
50,51.0,Suzuki GSX-RR (2016),Maverick Viñales,1:32.93,- / -
51,52.0,Honda RC213V (2016),Cal Crutchlow,1:32.96,- / -
52,53.0,KTM RC16 (2018),Pol Espargaro,1:32.99,- / -
53,54.0,Honda RC213V (2021),Marc Márquez,1:33.04,- / -
54,55.0,Honda RC213V (2017),Takaaki Nakagami,1:33.06,- / -
55,56.0,Ducati GP15,Danilo Petrucci,1:33.10,- / -
56,57.0,Honda RC213V (2016),Dani Pedrosa,1:33.11,- / -
57,58.0,Suzuki GSX-RR (2016),Aleix Espargaro,1:33.11,- / -
58,59.0,Honda RC213V (2021),Takaaki Nakagami,1:33.12,- / -
59,60.0,Honda RC213V (2021),Pol Espargaró,1:33.15,- / -
60,61.0,Ducati GP14,Hector Barbera,1:33.29,- / -
61,62.0,Ducati GP15,Scott Redding,1:33.31,- / -
62,63.0,Ducati GP17,Álvaro Bautista,1:33.32,- / -
63,64.0,Ducati GP14,Yonny Hernandez,1:33.36,- / -
64,65.0,Yamaha YZR-M1 (2021),Valentino Rossi,1:33.39,- / -
65,66.0,Honda RC213V (2017),Thomas Luthi,1:33.44,- / -
66,67.0,Ducati GP14,Eugene Laverty,1:33.45,- / -
67,68.0,Ducati GP19,Tito Rabat,1:33.61,- / -
68,69.0,Aprilia RS-GP (2018),Scott Redding,1:33.68,- / -
69,70.0,Ducati GP16,Xavier Simeon,1:33.80,- / -
70,71.0,Ducati GP16,Karel Abraham,1:33.84,- / -
71,72.0,KTM RC16 (2021),Miguel Oliveira,1:33.87,- / -
72,73.0,Aprilia RS-GP (2016),Stefan Bradl,1:34.00,- / -
73,74.0,Honda RC213V (2016),Jack Miller,1:34.05,- / -
74,75.0,Aprilia RS-GP (2021),Lorenzo Savadori,1:34.26,- / -
75,76.0,Ducati GP19,Luca Marini,1:34.26,- / -
76,77.0,Aprilia RS-GP (2016),Alvaro Bautista,1:34.33,- / -
77,78.0,Honda RC213V (2016),Tito Rabat,1:34.35,- / -
78,79.0,Ducati GP14,Loris Baz,1:34.45,- / -
79,80.0,Radical SR8 RX,unknown,1:38.48,436 / 680
80,81.0,McLaren Senna (P15),Christophe Tinseau,1:38.50,800 / 1364
81,82.0,Ducati GP18,Francesco Bagnaia,1:39.98 w,- / -
82,83.0,KTM RC16 (2019),Johann Zarco,1:40.03 w,- / -
83,84.0,Honda RC213V (2019),Cal Crutchlow,1:40.11 w,- / -
84,85.0,KTM RC16 (2019),Miguel Oliveira,1:40.38 w,- / -
85,86.0,Ducati GP18,Karel Abraham,1:40.48 w,- / -
86,87.0,Suzuki GSX-RR (2019),Joan Mir,1:40.60 w,- / -
87,88.0,Suzuki GSX-RR (2019),Alex Rins,1:40.71 w,- / -
88,89.0,Honda RC213V (2019),Marc Marquez,1:40.95 w,- / -
89,90.0,Ducati GP19,Danilo Petrucci,1:41.31 w,- / -
90,91.0,Ducati GP18,Tito Rabat,1:41.35 w,- / -
91,92.0,Ducati GP19,Jack Miller,1:41.37 w,- / -
92,93.0,Ducati GP19,Andrea Dovizioso,1:41.55 w,- / -
93,94.0,McLaren 720S,Christophe Tinseau,1:41.65,720 / 1428
94,95.0,Yamaha YZR-M1 (2019),Valentino Rossi,1:41.65 w,- / -
95,96.0,Yamaha YZR-M1 (2019),Franco Morbidelli,1:41.68 w,- / -
96,97.0,KTM RC16 (2019),Hafizh Syahrin,1:41.72 w,- / -
97,98.0,Aprilia RS-GP (2019),Andrea Iannone,1:41.79 w,- / -
98,99.0,Honda RC213V (2019),Takaaki Nakagami,1:42.06 w,- / -
99,100.0,Honda RC213V (2019),Jorge Lorenzo,1:42.07 w,- / -
100,101.0,Aprilia RS-GP (2019),Aleix Espargaró,1:42.45 w,- / -
101,102.0,Huracán Performante,Christophe Tinseau,1:42.49,640 / 1556
102,103.0,Yamaha YZR-M1 (2019),Fabio Quartararo,1:42.51 w,- / -
103,104.0,Yamaha YZR-M1 (2019),Maverick Viñales,1:42.55 w,- / -
104,105.0,Porsche 918 Spyder,Christophe Tinseau,1:42.63,887 / 1671
105,106.0,Ferrari F8 Tributo,unknown,1:43.26,720 / 1522
106,107.0,Radical RXC Turbo 500,Christophe Tinseau,1:43.38,537 / 1150
107,108.0,Aprilia RS-GP (2021),Aleix Espargaró,1:43.42 w,- / -
108,109.0,Suzuki GSX-RR (2021),Joan Mir,1:43.42 w,- / -
109,110.0,Suzuki GSX-RR (2021),Alex Rins,1:43.52 w,- / -
110,111.0,Ducati GP21,Francesco Bagnaia,1:43.53 w,- / -
111,112.0,McLaren 600LT,Christophe Tinseau,1:43.73,600 / 1404
112,113.0,KTM RC16 (2021),Danilo Petrucci,1:43.86 w,- / -
113,114.0,Lamborghini Huracán Evo,Christophe Tinseau,1:44.00,640 / 1619
114,115.0,McLaren 675LT,Christophe Tinseau,1:44.04,675 / 1345
115,116.0,Porsche 911 GT3 RS,Christophe Tinseau,1:44.06,520 / 1474
116,117.0,Ferrari 488 GTB,Christophe Tinseau,1:44.28,670 / 1546
117,118.0,KTM RC16 (2021),Iker Lecuona,1:44.32 w,- / -
118,119.0,Porsche 911 GT2 RS (991),Christophe Tinseau,1:44.35,700 / 1514
119,120.0,Donkervoort D8 GTO Performance,Stephane Desclouds,1:44.41,380 / 695
120,121.0,Radical SR3 RS,unknown,1:44.53,213 / 570
121,122.0,Lamborghini Huracan LP 610-4,Christophe Tinseau,1:45.06,610 / 1547
122,123.0,Porsche 911 Turbo S (992),Christophe Tinseau,1:45.10,650 / 1652
123,124.0,Honda RC213V (2021),Álex Márquez,1:45.15 w,- / -
124,125.0,Radical SR3 SL,Christophe Tinseau,1:45.26,304 / -
125,126.0,Radical SR3 SL (road-legal),unknown,1:45.26,243 / 765
126,127.0,Chevrolet Corvette Z06 (C7),Christophe Tinseau,1:45.44,659 / 1609
127,128.0,Ducati GP21,Tito Rabat,1:45.59 w,- / -
128,129.0,KTM RC16 (2021),Brad Binder,1:45.91 w,- / -
129,130.0,Ducati GP19,Enea Bastianini,1:46.12 w,- / -
130,131.0,McLaren 650 S,Christophe Tinseau,1:46.16,650 / 1429
131,132.0,Porsche 911 GT3,Christophe Tinseau,1:46.82,500 / 1475
132,133.0,McLaren MP4-12C Spider,unknown,1:46.98,625 / 1513
133,134.0,Porsche 911 GT2 RS (997),Christophe Tinseau,1:47.08,620 / 1406
134,135.0,McLaren 570S,Christophe Tinseau,1:47.13,570 / 1451
135,136.0,Mercedes-Benz AMG GT R,Christophe Tinseau,1:47.27,585 / 1635
136,137.0,Lamborghini Aventador LP700-4,unknown,1:47.30,700 / 1759
137,138.0,Aventador LP750-4 SV,unknown,1:47.35,750 / 1699
138,139.0,Audi R8 V10 Plus (Mk II),Christophe Tinseau,1:47.35,610 / 1629
139,140.0,Porsche 911 GT3 RS (991),Christophe Tinseau,1:47.52,500 / 1466
140,141.0,Gallardo LP 570-4 Superleggera,unknown,1:47.53,570 / 1476
141,142.0,Porsche 911 Turbo S,Christophe Tinseau,1:47.93,580 / 1603
142,143.0,Porsche 911 GT3 (991),Christophe Tinseau,1:48.48,476 / 1451
143,144.0,Porsche 911 Turbo S (991),unknown,1:48.63,560 / 1592
144,145.0,Ariel Atom 3 (300 PS),unknown,1:48.70,300 / 531
145,146.0,Porsche 911 Carrera S (992),Christophe Tinseau,1:49.22,450 / 1554
146,147.0,Porsche 911 GT3 RS,Sebastien Bourdais,1:49.25,450 / 1400
147,148.0,Lotus Exige S1,unknown,1:49.26,274 / 745
148,149.0,Audi R8 V10 RWD,Christophe Tinseau,1:49.34,540 / 1633
149,150.0,Porsche Cayman GT4 (718),Christophe Tinseau,1:49.37,420 / 1450
150,151.0,Porsche 911 Carrera GTS,Christophe Tinseau,1:49.47,450 / 1514
151,152.0,Porsche 911 Carrera GTS,unknown,1:49.47,450 / 1514
152,153.0,Chevrolet Corvette ZR1,Christophe Tinseau,1:49.50,647 / 1526
153,154.0,Honda NSX (Mk II),Christophe Tinseau,1:49.60,581 / 1770
154,155.0,Jaguar XE SV Project 8,Christophe Tinseau,1:49.77,600 / 1794
155,156.0,Porsche 911 Carrera S,unknown,1:49.78,420 / 1487
156,157.0,KTM X-Bow R,unknown,1:49.98,304 / 862
157,158.0,Porsche Taycan Turbo S,unknown,1:50.35,760 / 2362
158,159.0,Caterham Seven 485 R,Christophe Tinseau,1:51.00,240 / 587
159,160.0,Mercedes-Benz AMG GT S,Christophe Tinseau,1:51.29,510 / 1660
160,161.0,Porsche Cayman GT4 (981),Christophe Tinseau,1:51.29,385 / 1360
161,162.0,Nissan GT-R (R35 570PS),unknown,1:51.35,570 / 1777
162,163.0,Nissan GT-R (R35),Sebastien Bourdais,1:51.37,480 / 1762
163,164.0,Jaguar F-Type SVR,unknown,1:51.55,575 / 1820
164,165.0,Porsche 911 Carrera S (991),unknown,1:51.97,400 / 1415
165,166.0,Lotus Exige S Roadster,Christophe Tinseau,1:52.09,350 / 1119
166,167.0,Chevrolet Corvette Stingray,unknown,1:52.16,461 / 1566
167,168.0,Mercedes-Benz AMG GT 63 S,Christophe Tinseau,1:52.24,639 / 2112
168,169.0,BMW M2 CS (F87),Christophe Tinseau,1:52.66,450 / 1582
169,170.0,Audi TT RS Coupe (Mk III),unknown,1:53.11,400 / 1483
170,171.0,Honda NSX (Mk II),unknown,1:53.50,581 / 1770
171,172.0,Aston Martin DB11,unknown,1:53.50,608 / 1902
172,173.0,Audi R8 V10 5.2 FSI Coupe,Christophe Tinseau,1:53.51,525 / 1620
173,174.0,Mercedes-Benz SLS AMG,Christophe Tinseau,1:53.57,571 / 1676
174,175.0,Porsche 718 Boxster S,Christophe Tinseau,1:53.90,350 / 1420
175,176.0,Audi R8 V10 5.2 FSI (Mk I),Sebastien Bourdais,1:53.96,525 / 1671
176,177.0,Mercedes-Benz SL 63 AMG,Christophe Tinseau,1:54.04,537 / 1845
177,178.0,Toyota Supra (Mk V 340 PS),Christophe Tinseau,1:54.36,340 / 1524
178,179.0,BMW M2 Competition (F87),Christophe Tinseau,1:54.97,410 / 1614
179,180.0,Civic Type R Limited Edition,unknown,1:55.07,320 / 1359
180,181.0,Alfa Romeo Giulia QV,unknown,1:55.15,510 / 1708
181,182.0,Aston Martin AM 310 Vanquish,Christophe Tinseau,1:55.39,573 / 1739
182,183.0,Porsche Boxster Spyder,Christophe Tinseau,1:55.45,320 / 1323
183,184.0,Lotus Evora 400,unknown,1:55.80,406 / 1440
184,185.0,Lexus RC F Track Edition,Christophe Tinseau,1:55.81,480 / 1729
185,186.0,Audi RS5 (9T),unknown,1:56.06,450 / 1728
186,187.0,BMW M2 (F87),Christophe Tinseau,1:56.25,375 / 1564
187,188.0,Porsche Cayman S (981),Christophe Tinseau,1:56.44,325 / 1382
188,189.0,Mini John Cooper Works GP,Christophe Tinseau,1:56.47,310 / 1288
189,190.0,Porsche 911 Carrera GTS (997),Christophe Tinseau,1:56.61,408 / 1506
190,191.0,BMW Z4 M40i (G29),Christophe Tinseau,1:56.76,340 / 1581
191,192.0,Porsche Boxster S (981),Christophe Tinseau,1:56.78,315 / 1376
192,193.0,BMW M6 Gran Coupe,Christophe Tinseau,1:56.81,560 / 1944
193,194.0,Jaguar F-Type R Coupe,Christophe Tinseau,1:56.83,550 / 1665
194,195.0,Alpine A110 (Mk II),unknown,1:56.84,252 / 1111
195,196.0,C63 AMG Coupe Performance Pac..,Christophe Tinseau,1:56.97,487 / 1783
196,197.0,Mercedes-Benz SLK 55 AMG,Christophe Tinseau,1:56.98,421 / 1579
197,198.0,Audi RS4 Avant (B8),Christophe Tinseau,1:57.35,450 / 1755
198,199.0,Aston Martin V8 Vantage S,Christophe Tinseau,1:57.50,436 / 1629
199,200.0,Alfa Romeo Stelvio QV,Christophe Tinseau,1:57.55,510 / 1919
200,201.0,Maserati GranTurismo S,Sébastien Bourdais,1:57.77,439 / 1880
201,202.0,Porsche Panamera GTS,Christophe Tinseau,1:57.80,440 / 1929
202,203.0,Mercedes-Benz C 63 AMG S,unknown,1:57.92,510 / 1749
203,204.0,BMW M5 (F10),Christophe Tinseau,1:58.12,560 / 1870
204,205.0,Chevrolet Camaro SS,Christophe Tinseau,1:58.27,432 / 1777
205,206.0,Jaguar F-Type V6 S,Christophe Tinseau,1:58.45,380 / 1678
206,207.0,BMW 1 Series M Coupe,Christophe Tinseau,1:58.89,340 / 1515
207,208.0,Renault Megane RS (MK IV),Christophe Tinseau,1:58.91,280 / 1477
208,209.0,Caterham 7 CSR 175,Sébastien Bourdais,1:59.10,175 / 590
209,210.0,Lotus Elise S,Christophe Tinseau,1:59.18,217 / 931
210,211.0,Ford Mustang GT (Mk VI 426 PS),unknown,1:59.41,426 / 1650
211,212.0,Jaguar XKR (510 PS),Sébastien Bourdais,1:59.56,510 / 1863
212,213.0,Lexus IS-F,Christophe Tinseau,1:59.82,423 / 1715
213,214.0,Ford Focus RS,Christophe Tinseau,1:59.86,350 / 1548
214,215.0,Honda Civic Type R (FK2),Christophe Tinseau,2:00.83,310 / 1401
215,216.0,Ford Focus ST (Mk IV),Christophe Tinseau,2:00.85,280 / 1455
216,217.0,Lotus Evora,unknown,2:01.02,280 / 1402
217,218.0,Nissan 370Z Nismo,Christophe Tinseau,2:01.30,344 / 1550
218,219.0,Mitsubishi Lancer Evo X,Christophe Tinseau,2:01.41,295 / 1573
219,220.0,BMW M235i,unknown,2:02.04,326 / 1499
220,221.0,Renault Megane RS 265 Trophy,unknown,2:02.23,265 / 1409
221,222.0,Subaru Impreza WRX STI tS,unknown,2:02.28,308 / 1529
222,223.0,Mercedes-Benz CLA 45 AMG,unknown,2:02.78,360 / 1395
223,224.0,Bentley Continental GT (Mk II),unknown,2:02.89,575 / 2344
224,225.0,Lotus Elise 1.6,Christophe Tinseau,2:05.87,136 / 897
225,226.0,Renault Clio RS 200 EDC,unknown,2:05.97,200 / -
226,227.0,Nissan GT-R Nismo (R35),Christophe Tinseau,2:06.37 w,600 / 1746
227,228.0,Subaru BRZ,unknown,2:06.80,200 / 1251
228,229.0,C63 AMG Coupe Performance Pac..,Steve Stanton,2:07.00,487 / 1783
229,230.0,Abarth 124 Spider,unknown,2:07.25,170 / 1136
230,231.0,Ford Fiesta ST,unknown,2:08.18,180 / 1225
231,232.0,Alpine A110 S (Mk II),Christophe Tinseau,2:09.94,292 / 1137
232,233.0,Mazda MX-5 Grand Touring,Christophe Tinseau,2:10.69,160 / 1159
